TimePoint,GCaMP,jRGECO
543,109224.588079628,64192.8019832843
544,109104.644664515,64559.2076641323
545,109838.431666775,64968.0384575414
546,109867.626008798,64536.7327028988
547,109522.609286913,64613.6850170298
548,108809.022144407,64630.5133780213
549,110125.964610817,64578.4284381132
550,109417.674753795,64352.0664501162
551,109470.109972963,64649.1822216102
552,109195.11527967,64082.9228438215
553,109253.787970712,64324.0289627699
554,109491.262985365,64099.8193112647
555,108854.400202699,63792.1819450787
556,109402.650766702,64019.812662745
557,109338.964828264,64219.7018325252
558,108558.123486986,63904.307321784
559,109654.242679945,64015.4528435101
560,108602.656953262,64345.0428131332
561,109804.525496073,64120.3795192509
562,109136.925420193,63892.4763271417
563,109831.378661975,64410.2709504969
564,109044.09219682,63833.8708958856
565,109764.486343455,64246.758782515
566,109723.086670333,64370.2576234607
567,109402.149362877,64525.3451684997
568,109928.072033733,64227.2554854854
569,109499.777238622,63945.3041595275
570,109234.252138391,64086.7607229798
571,108765.098010904,63785.7070353653
572,108512.899316837,64276.9679207052
573,108596.326131444,63500.9778994513
574,109218.346815164,64022.299944602
575,108745.969948755,64416.0939039989
576,108536.6556199,64238.2020939518
577,109583.384758728,64359.7276768528
578,109271.517717589,63730.4353889417
579,109145.815347028,63774.0400794577
580,108238.410326198,63552.4518213962
581,109311.348261023,63714.8416054899
582,109997.09622187,63504.6229619738
583,109538.343042541,63764.7505557988
584,109954.389199759,63326.8753387497
585,108766.701522336,63562.9083165156
586,108810.720195849,63501.0801582531
587,108434.531388779,63226.7517012204
588,108809.790992019,63936.7272214544
589,108264.651127252,63599.2626153746
590,108588.337063338,63296.7631132977
591,108751.077192713,63608.3602513317
592,108991.994326277,64180.3485228203
593,109558.858986362,64067.4991818665
594,109465.164042747,63853.99163806
595,109205.98899587,64227.5825601708
596,109824.504931285,63638.3212764756
597,109811.931832041,63900.6625229857
598,109948.792063478,64273.8322188435
599,109797.055720524,64823.0714857246
600,110321.390151908,64356.9765237907
601,109405.644332119,64143.0736594734
602,110210.828578286,63892.9234824486
603,110006.166029576,63913.5558135426
604,109468.434029424,64010.0862767873
605,109623.651323597,63971.9269020129
606,110234.719109978,63821.1749532448
607,110240.771447409,63485.1749131905
608,109713.13809203,63647.7607280454
609,109548.004605329,63664.8308041308
610,108912.96492995,62722.1911933077
611,109440.913064901,63993.346602394
612,109192.661061632,64027.5935331699
613,110267.984225513,64331.1232309808
614,110068.972415508,63891.3377837829
615,109572.443524975,63642.7979605124
616,109937.336028805,64313.8694437024
617,109412.941247674,64128.1168580221
618,108273.815948641,63922.9129600208
619,109502.288505116,63303.2248279454
620,109342.537561283,63901.4325610737
621,109261.02679036,63864.4197025569
622,109849.064447698,63723.199925718
623,109868.087092911,64309.91977294
624,109697.826434369,64051.6056334039
625,109634.255066905,63793.3181925225
626,109458.813161839,63931.1356190525
627,109754.942593156,64050.9362358259
628,108724.116108565,63412.6398558182
629,110110.293045682,63729.5461660172
630,110590.948560358,63808.0562497435
631,109268.404514048,63029.7118424405
632,109960.125766766,63404.3883661253
633,110056.3769067,63251.5919105962
634,109469.995493579,63208.7264652893
635,110307.650816855,62939.338949611
636,109688.300680972,63484.3918416738
637,109827.089064445,63350.7556923161
638,109156.718859549,63466.499137496
639,108611.134600308,62907.5620479588
