Wavelength_nm,GCaMP,jRGECO
610.458,9.73677733436344e-05,0.00390466909385373
610.795,9.15914543147428e-05,0.0037113525501714
611.131,8.6016276905007e-05,0.00352253101764575
611.468,8.05597999410664e-05,0.00333507004866584
611.804,7.53534422558302e-05,0.00315424749527582
612.141,7.03687822682128e-05,0.00298263074441785
612.477,6.54423659046025e-05,0.00281397551057736
612.813,6.0842746438207e-05,0.0026551062165107
613.15,5.6115284509732e-05,0.00250028995884643
613.486,5.14091709558094e-05,0.0023571331538479
613.822,4.69891829884382e-05,0.00221973787683006
614.158,4.26955322690524e-05,0.00209154459321305
614.494,3.82163373331018e-05,0.00195689982803226
614.83,3.40751673233543e-05,0.00182858085643342
615.166,3.02897155648179e-05,0.00170517304023774
615.502,2.69521743612385e-05,0.00159324731163101
615.838,2.38035276991774e-05,0.00148212059166771
616.174,2.12205432688858e-05,0.00137533689835312
616.51,1.90264686329916e-05,0.00126758456669798
616.845,1.71095477519992e-05,0.00117295947400834
617.181,1.52751308809849e-05,0.00107307309007125
617.517,1.36504450945434e-05,0.000978764444103014
617.852,1.22160331290687e-05,0.000894580564477103
618.188,1.08464961417133e-05,0.000809627123683167
618.523,9.57544446052665e-06,0.00072732354250452
618.859,8.51858620065874e-06,0.00065880269882995
619.194,7.47219954293141e-06,0.000588882445226138
619.529,6.69030977269571e-06,0.000537747938173272
619.865,5.97567551446425e-06,0.000490188972479837
620.2,5.28569977595372e-06,0.00043757854915329
620.535,4.65992012916739e-06,0.000386288368489839
620.87,4.10229409269628e-06,0.000340520130327049
621.205,3.53410353143962e-06,0.000295038141693052
621.54,3.11398736938894e-06,0.000262214817949573
621.875,2.74110285119177e-06,0.000232849853828442
622.21,2.3407239619324e-06,0.000204131166623442
622.545,1.84069501766944e-06,0.000166733321530487
622.88,1.5257961659886e-06,0.000143840332404534
623.215,1.2470568012248e-06,0.000121350487843753
623.549,1.03061321408848e-06,0.000103045902664581
623.884,8.39993977493374e-07,8.63924920793185e-05
624.219,7.43774261170038e-07,7.69601680323337e-05
624.553,6.37509367121694e-07,6.55632767789985e-05
624.888,5.48581693418619e-07,5.60685881899065e-05
625.222,5.14768830354242e-07,5.32035838904892e-05
625.557,4.78366583233963e-07,5.04682463064348e-05
625.891,3.91074899005437e-07,4.21453174935189e-05
626.225,3.44649523554738e-07,3.84693733365429e-05
626.56,3.34765425039433e-07,3.90388429980763e-05
